"index","job_title","salary_estimate","rating","company_name","location","headquarters","workforce","founded","type_of_ownership","industry","sector","revenue","state"
14,"Data Scientist","$137K-$171K ","3.4","Mathematica Policy Research
","Washington, DC","Princeton, NJ","1001 to 5000 ",1986,"Company - Private","Consulting","Business Services","$100 to $500 million (USD)","DC"
15,"Experienced Data Scientist","$137K-$171K ","4.4","Guzman & Griffin Technologies (GGTI)
","Washington, DC","Mays Landing, NJ","1 to 50 ",1997,"Company - Private","Federal Agencies","Government","Unknown / Non-Applicable","DC"
16,"Data Scientist - Contract","$137K-$171K ","4.1","Upside Business Travel
","Remote","Washington, DC","51 to 200 ",2015,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Remote"
17,"Data Scientist","$137K-$171K ","3.5","Buckman
","Memphis, TN","Memphis, TN","1001 to 5000 ",1945,"Company - Private","Chemical Manufacturing","Manufacturing","$500 million to $1 billion (USD)","TN"
18,"Data Analyst II","$137K-$171K ","4.2","Insight Enterprises, Inc.
","Plano, TX","Tempe, AZ","5001 to 10000 ",1988,"Company - Public","Enterprise Software & Network Solutions","Information Technology","$5 to $10 billion (USD)","TX"
19,"Medical Lab Scientist","$137K-$171K ","3.5","Tower Health
","West Grove, PA","Reading, PA","5001 to 10000 ",2017,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","PA"
20,"Data Scientist","$137K-$171K ","3.2","Triplebyte
","New York, NY","San Francisco, CA","51 to 200 ",2015,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","NY"
21,"Data Scientist/Machine Learning","$137K-$171K ","4.3","PulsePoint
","New York, NY","New York, NY","51 to 200 ",2011,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","NY"
22,"Human Factors Scientist","$137K-$171K ","3.5","Exponent
","Phoenix, AZ","Menlo Park, CA","1001 to 5000 ",1967,"Company - Public","Consulting","Business Services","$100 to $500 million (USD)","AZ"
23,"Business Intelligence Analyst I- Data Insights","$137K-$171K ","3.5","Guardian Life
","Appleton, WI","New York, NY","5001 to 10000 ",1860,"Company - Private","Insurance Carriers","Insurance","$5 to $10 billion (USD)","WI"
24,"Data Scientist","$137K-$171K ","3.4","Spectrum Communications and Consulting
","Chicago, IL","Chicago, IL","51 to 200 ",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","IL"
25,"Data Scientist","$137K-$171K ","4.7","Oversight Systems
","Atlanta, GA","Atlanta, GA","51 to 200 ",2003,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","GA"
26,"Data Scientist - Risk","$137K-$171K ","4.2","LSQ
","Orlando, FL","Orlando, FL","51 to 200 ",1996,"Company - Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)","FL"
27,"Data Scientist-Human Resources","$137K-$171K ","3.8","MIT Lincoln Laboratory
","Lexington, MA","Lexington, MA","1001 to 5000 ",1951,"Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","MA"
28,"Data Scientist","$137K-$171K ","4.5","Kingfisher Systems
","McLean, VA","Falls Church, VA","51 to 200 ",2005,"Company - Private","Federal Agencies","Government","$25 to $50 million (USD)","VA"
29,"Data Scientist","$137K-$171K ","2.8","Formation
","San Francisco, CA","San Francisco, CA","51 to 200 ",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","CA"
30,"Data Scientist","$75K-$131K ","3.8","Analysis Group
","Boston, MA","Boston, MA","1001 to 5000 ",1981,"Private Practice / Firm","Consulting","Business Services","$100 to $500 million (USD)","MA"
31,"Data Scientist / Machine Learning Expert","$75K-$131K ","3.9","Novartis
","Cambridge, MA","Basel, Switzerland","10000+ ",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MA"
32,"Data Scientist","$75K-$131K ","5","Cohere Health
","Boston, MA","Boston, MA","1 to 50 ",2019,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","MA"
33,"Senior Research Statistician- Data Scientist","$75K-$131K ","4.8","Acuity Insurance
","Sheboygan, WI","Sheboygan, WI","1001 to 5000 ",1925,"Company - Private","Insurance Carriers","Insurance","$1 to $2 billion (USD)","WI"
34,"Data Engineer","$75K-$131K ","3.6","Chef Software, inc","Seattle, WA","Seattle, WA","201 to 500 ",2008,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)","WA"
35,"Associate Data Scientist","$75K-$131K ","3.3","Puget Sound Energy
","Bothell, WA","Bellevue, WA","1001 to 5000 ",1999,"Company - Private","Utilities","Oil, Gas, Energy & Utilities","$2 to $5 billion (USD)","WA"
36,"Business Intelligence Analyst","$75K-$131K ","2.7","Sandhills Global
","Lincoln, NE","Lincoln, NE","1001 to 5000 ",1978,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)","NE"
37,"Data Scientist","$75K-$131K ","2.7","A Place for Mom
","Overland Park, KS","New York, NY","501 to 1000 ",2000,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","KS"
38,"Data Scientist","$75K-$131K ","2.2","Great-Circle Technologies
","Chantilly, VA","Chantilly, VA","1 to 50 ",2000,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$1 to $5 million (USD)","VA"
39,"Senior Analyst/Data Scientist","$75K-$131K ","3.4","Edmunds.com
","Santa Monica, CA","Santa Monica, CA","501 to 1000 ",1966,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","CA"
40,"Data Analyst","$75K-$131K ","3.1","Cambridge Associates, LLC
","Boston, MA","Boston, MA","501 to 1000 ",1973,"Company - Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)","MA"
41,"Machine Learning Engineer","$75K-$131K ","3.4","Liberty Mutual Insurance
","Portsmouth, NH","Boston, MA","10000+ ",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","NH"
42,"Data Analyst I","$75K-$131K ","2.6","Cenlar
","Ewing, NJ","Ewing, NJ","1001 to 5000 ",1958,"Company - Private","Financial Services","Finance","$100 to $500 million (USD)","NJ"
43,"Scientist - Molecular Biology","$75K-$131K ","5","Arsenal Biosciences
","South San Francisco, CA","South San Francisco, CA","51 to 200 ",2019,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","CA"
44,"Data Scientist","$75K-$131K ","4.2","Eversight
","Palo Alto, CA","Palo Alto, CA","51 to 200 ",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","CA"
45,"Computational Scientist, Machine Learning","$75K-$131K ","4.1","Pfizer
","Cambridge, MA","New York, NY","10000+ ",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MA"
46,"Senior Data Scientist","$75K-$131K ","4.8","Klaviyo
","Boston, MA","Boston, MA","201 to 500 ",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","MA"
47,"Data Scientist","$75K-$131K ","3.3","Intellectual Ventures
","Bellevue, WA","Bellevue, WA","501 to 1000 ",2000,"Company - Private","Investment Banking & Asset Management","Finance","Unknown / Non-Applicable","WA"
48,"Data Scientist","$75K-$131K ","3.7","GovTech
","San Francisco, CA","Singapore, Singapore","1001 to 5000 ",2016,"Government","Federal Agencies","Government","Unknown / Non-Applicable","CA"
49,"Data Scientist","$75K-$131K ","4.3","Quick Base
","Cambridge, MA","Cambridge, MA","201 to 500 ",1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","MA"
50,"Data Analyst","$75K-$131K ","4.8","Giving Assistant
","San Francisco, CA","San Francisco, CA","1 to 50 ",2014,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","CA"
51,"Data Scientist","$75K-$131K ","3.7","Takeda
","Cambridge, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MA"
52,"Data Scientist","$75K-$131K ","4","Netskope
","San Francisco, CA","Santa Clara, CA","501 to 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","CA"
53,"Jr. Data Engineer","$75K-$131K ","4.8","IT Concepts
","Remote","Vienna, VA","51 to 200 ",2003,"Company - Private","IT Services","Information Technology","$10 to $25 million (USD)","Remote"
54,"E-Commerce Data Analyst","$75K-$131K ","3.5","iSeatz
","New Orleans, LA","New Orleans, LA","51 to 200 ",1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","LA"
55,"Data Analytics Engineer","$75K-$131K ","3.7","Summa Health System
","Akron, OH","Akron, OH","5001 to 10000 ",1926,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)","OH"
56,"Senior Data Scientist","$75K-$131K ","3.5","Benson Hill
","Saint Louis, MO","Saint Louis, MO","201 to 500 ",2012,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","MO"
57,"Product Data Scientist - Ads Data Science","$75K-$131K ","4.1","Twitter
","San Francisco, CA","San Francisco, CA","1001 to 5000 ",2006,"Company - Public","Internet","Information Technology","$2 to $5 billion (USD)","CA"
58,"Data Scientist","$75K-$131K ","3.2","Postmates - Corporate HQ
","San Francisco, CA","San Francisco, CA","1001 to 5000 ",2011,"Company - Private","Express Delivery Services","Transportation & Logistics","Unknown / Non-Applicable","CA"
59,"Data Scientist - Intermediate","$75K-$131K ","4.5","Envision LLC
","Saint Louis, MO","Saint Louis, MO","201 to 500 ",1994,"Company - Private","Staffing & Outsourcing","Business Services","$25 to $50 million (USD)","MO"
60,"Data Analyst","$75K-$131K ","3.8","Swiss Re
","Fort Wayne, IN","Zurich, Switzerland","10000+ ",1863,"Company - Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)","IN"
61,"Machine Learning Engineer","$75K-$131K ","4.5","Systems & Technology Research
","Woburn, MA","Woburn, MA","201 to 500 ",2010,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","MA"
62,"Data Scientist","$79K-$131K ","3.5","iRobot
","Bedford, MA","Bedford, MA","1001 to 5000 ",1990,"Company - Public","Consumer Electronics & Appliances Stores","Retail","$1 to $2 billion (USD)","MA"
63,"Data Scientist","$79K-$131K ","4.2","HG Insights
","Santa Barbara, CA","Santa Barbara, CA","51 to 200 ",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
64,"Global Data Analyst","$79K-$131K ","3.8","Dermalogica
","Carson, CA","Carson, CA","201 to 500 ",1986,"Subsidiary or Business Segment","Consumer Products Manufacturing","Manufacturing","$100 to $500 million (USD)","CA"
65,"Data Engineer","$79K-$131K ","3.7","Bayview Asset Management
","Coral Gables, FL","Coral Gables, FL","1001 to 5000 ",1995,"Company - Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)","FL"
66,"Data Scientist","$79K-$131K ","3.7","Via Transportation
","New York, NY","New York, NY","501 to 1000 ",2012,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","NY"
67,"Data Scientist","$79K-$131K ","4","Grid Dynamics
","Santa Clara, CA","San Ramon, CA","1001 to 5000 ",2006,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)","CA"
68,"Data & Machine Learning Scientist","$79K-$131K ","3.3","Tempus Labs
","Chicago, IL","Chicago, IL","501 to 1000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","IL"
69,"Data Scientist - Machine Learning","$79K-$131K ","2.5","CareDx
","Brisbane, CA","Brisbane, CA","1 to 50 ",1998,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","CA"
70,"Data Engineer (Remote)","$79K-$131K ","4.2","IZEA
","Winter Park, FL","Winter Park, FL","51 to 200 ",2006,"Company - Public","Advertising & Marketing","Business Services","$25 to $50 million (USD)","FL"
71,"Data Scientist, Applied Machine Learning - Bay Area","$79K-$131K ","3.3","Tempus Labs
","Redwood City, CA","Chicago, IL","501 to 1000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","CA"
72,"Principal Data Scientist","$79K-$131K ","4","Autodesk
","San Francisco, CA","San Rafael, CA","5001 to 10000 ",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","CA"
73,"Business Data Analyst","$79K-$131K ","3.7","Caterpillar
","Peoria, IL","Deerfield, IL","10000+ ",1925,"Company - Public","Industrial Manufacturing","Manufacturing","$10+ billion (USD)","IL"
74,"Purification Scientist","$79K-$131K ","4.9","New England Biolabs
","Ipswich, MA","Ipswich, MA","201 to 500 ",1974,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","MA"
75,"Data Analyst","$79K-$131K ","3.4","Allied Solutions
","Carmel, IN","Carmel, IN","1001 to 5000 ",2001,"Subsidiary or Business Segment","Insurance Agencies & Brokerages","Insurance","$100 to $500 million (USD)","IN"
76,"Data Engineer, Enterprise Analytics","$79K-$131K ","3.1","Healthfirst
","New York, NY","New York, NY","1001 to 5000 ",1993,"Nonprofit Organization","Insurance Carriers","Insurance","Unknown / Non-Applicable","NY"
77,"Data Scientist","$79K-$131K ","3.5","The Knot Worldwide
","Washington, DC","Chevy Chase, MD","1001 to 5000 ",2019,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","DC"
78,"Data Scientist","$79K-$131K ","2.9","IFG Companies
","New York, NY","Hartford, CT","201 to 500 ",1985,"Company - Private","Insurance Carriers","Insurance","Unknown / Non-Applicable","NY"
79,"Data Scientist 3 (718)","$79K-$131K ","3.3","Amyris
","Emeryville, CA","Emeryville, CA","201 to 500 ",2003,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","CA"
80,"Real World Science, Data Scientist","$79K-$131K ","4","AstraZeneca
","Gaithersburg, MD","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MD"
81,"Data Scientist","$79K-$131K ","3.6","Powertek
","Washington, DC","Rockville, MD","51 to 200 ",2001,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","DC"
82,"Data Engineer","$79K-$131K ","4.7","Object Partners
","Saint Louis, MO","Minneapolis, MN","51 to 200 ",1996,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","MO"
83,"Data Scientist - Image and Video Analytics","$79K-$131K ","4.9","The Mom Project
","Longmont, CO","Chicago, IL","1 to 50 ",2016,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","CO"
84,"Data Scientist","$79K-$131K ","4.3","Lightspeed Systems
","Austin, TX","Austin, TX","51 to 200 ",1999,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","TX"
85,"Data Science Manager, Payment Acceptance - USA","$79K-$131K ","4","Stripe
","San Francisco, CA","San Francisco, CA","1001 to 5000 ",2010,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","CA"
86,"Data Analyst","$79K-$131K ","2.6","Comprehensive Healthcare
","Yakima, WA","Yakima, WA","501 to 1000 ",1971,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","WA"
87,"Data Scientist / Applied Mathematician","$79K-$131K ","4.5","Fullpower Technologies, Inc.
","Santa Cruz, CA","Santa Cruz, CA","51 to 200 ",2003,"Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","CA"
88,"Machine Learning Engineer","$79K-$131K ","4.8","Klaviyo
","Boston, MA","Boston, MA","201 to 500 ",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","MA"
89,"Data Scientist","$79K-$131K ","3.9","Mars
","Mc Lean, VA","Mc Lean, VA","10000+ ",1911,"Company - Private","Food & Beverage Manufacturing","Manufacturing","$10+ billion (USD)","VA"
90,"Patient Safety- Associate Data Scientist","$79K-$131K ","4","AstraZeneca
","Gaithersburg, MD","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MD"
91,"Machine Learning Engineer","$79K-$131K ","4.4","NuWave Solutions
","Springfield, VA","Mc Lean, VA","51 to 200 ",1999,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","VA"
92,"Senior Data Scientist","$79K-$131K ","4.2","ManTech
","Alexandria, VA","Herndon, VA","5001 to 10000 ",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","VA"
93,"(Sr.) Data Scientist -","$79K-$131K ","3.6","Merrick Bank
","South Jordan, UT","South Jordan, UT","201 to 500 ",1997,"Company - Private","Banks & Credit Unions","Finance","Unknown / Non-Applicable","UT"
94,"Data Scientist","$99K-$132K ","3.4","Mathematica Policy Research
","Washington, DC","Princeton, NJ","1001 to 5000 ",1986,"Company - Private","Consulting","Business Services","$100 to $500 million (USD)","DC"
95,"Staff Data Scientist - Analytics","$99K-$132K ","4.4","Intuit - Data
","San Diego, CA","Mountain View, CA","5001 to 10000 ",1983,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","CA"
96,"Data Analytics Engineer","$99K-$132K ","3.5","QOMPLX
","Reston, VA","Reston, VA","51 to 200 ",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","VA"
97,"Data Scientist, Kinship - NYC/Portland","$99K-$132K ","3.9","Mars
","Mc Lean, VA","Mc Lean, VA","10000+ ",1911,"Company - Private","Food & Beverage Manufacturing","Manufacturing","$10+ billion (USD)","VA"
98,"Senior Data Scientist","$99K-$132K ","3.8","GutCheck
","Denver, CO","Denver, CO","51 to 200 ",2009,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","CO"
99,"Applied Technology Researcher / Data Scientist","$99K-$132K ","3.5","Inter-American Development Bank
","Washington, DC","Washington, DC","1001 to 5000 ",1959,"Other Organization","Banks & Credit Unions","Finance","$10+ billion (USD)","DC"
100,"Data Scientist","$99K-$132K ","4.9","Avlino
","New Jersey","Holmdel, NJ","1 to 50 ",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Less than $1 million (USD)","NJ"
101,"Machine Learning Engineer","$99K-$132K ","4.4","Stratagem Group
","Aurora, CO","Aurora, CO","1 to 50 ",2007,"Company - Private","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","CO"
102,"Health Data Scientist - Biomedical/Biostats","$99K-$132K ","4.1","Evidation
","Santa Barbara, CA","San Mateo, CA","51 to 200 ",2012,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","CA"
103,"Senior Data Scientist","$99K-$132K ","4","Autodesk
","San Francisco, CA","San Rafael, CA","5001 to 10000 ",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","CA"
104,"Staff Data Scientist","$99K-$132K ","4.4","Intuit - Data
","San Diego, CA","Mountain View, CA","5001 to 10000 ",1983,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","CA"
105,"Data Scientist","$99K-$132K ","3.8","Tecolote Research
","Hill AFB, UT","Goleta, CA","501 to 1000 ",1973,"Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)","UT"
106,"Sr Data Engineer (Sr BI Developer)","$99K-$132K ","3.2","Tivity Health
","Chandler, AZ","Franklin, TN","501 to 1000 ",1981,"Company - Public","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","AZ"
107,"Data Engineer","$99K-$132K ","2.9","hc1
","Indianapolis, IN","Indianapolis, IN","51 to 200 ",2011,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10 to $25 million (USD)","IN"
108,"Lead Data Scientist","$99K-$132K ","4.1","HP Inc.
","San Diego, CA","Palo Alto, CA","10000+ ",1939,"Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
109,"Data Scientist","$99K-$132K ","3.7","SAIC
","Chantilly, VA","Reston, VA","10000+ ",2013,"Company - Public","Enterprise Software & Network Solutions","Information Technology","$5 to $10 million (USD)","VA"
110,"RFP Data Analyst","$99K-$132K ","3.2","AllianceBernstein
","Nashville, TN","New York, NY","1001 to 5000 ",1967,"Company - Public","Investment Banking & Asset Management","Finance","$2 to $5 billion (USD)","TN"
111,"Data Analyst","$99K-$132K ","4.9","Big Huge Games
","Timonium, MD","Lutherville Timonium, MD","51 to 200 ",2013,"Subsidiary or Business Segment","Video Games","Media","Unknown / Non-Applicable","MD"
112,"Data Scientist (TS/SCI)","$99K-$132K ","3.5","Maxar Technologies
","Herndon, VA","Westminster, CO","5001 to 10000 ",2017,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","VA"
113,"Data Engineer","$99K-$132K ","5","Phantom AI
","Burlingame, CA","Burlingame, CA","1 to 50 ",2016,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
114,"Data Scientist","$99K-$132K ","4","Noblis
","Reston, VA","Reston, VA","1001 to 5000 ",1996,"Nonprofit Organization","Consulting","Business Services","$100 to $500 million (USD)","VA"
115,"Data Scientist","$99K-$132K ","3.6","Spring Health
","New York, NY","New York, NY","1 to 50 ",2016,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","NY"
116,"Software Engineer - Data Science","$99K-$132K ","4","ClearEdge
","Annapolis Junction, MD","Annapolis Junction, MD","51 to 200 ",2002,"Company - Private","Computer Hardware & Software","Information Technology","$5 to $10 million (USD)","MD"
117,"Data Analyst/Engineer","$99K-$132K ","3.2","AllianceBernstein
","Nashville, TN","New York, NY","1001 to 5000 ",1967,"Company - Public","Investment Banking & Asset Management","Finance","$2 to $5 billion (USD)","TN"
118,"NGS Scientist","$99K-$132K ","5","Arsenal Biosciences
","South San Francisco, CA","South San Francisco, CA","51 to 200 ",2019,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","CA"
119,"Data Engineer","$99K-$132K ","4.8","GetWellNetwork
","Bethesda, MD","Bethesda, MD","201 to 500 ",2000,"Company - Private","Health Care Services & Hospitals","Health Care","$50 to $100 million (USD)","MD"
120,"Data Scientist","$99K-$132K ","4.5","TACG Solutions
","Dayton, OH","Beavercreek, OH","51 to 200 ",2006,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","OH"
121,"Senior Data Engineer","$99K-$132K ","4.7","Scoop
","San Francisco, CA","San Francisco, CA","51 to 200 ",2015,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","CA"
122,"Senior Data Scientist","$99K-$132K ","4.5","Novetta
","Herndon, VA","Mc Lean, VA","501 to 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","VA"
123,"Data Engineer","$99K-$132K ","4.2","IZEA
","Winter Park, FL","Winter Park, FL","51 to 200 ",2006,"Company - Public","Advertising & Marketing","Business Services","$25 to $50 million (USD)","FL"
124,"Business Intelligence Analyst","$99K-$132K ","3.4","Montway Inc
","Schaumburg, IL","Schaumburg, IL","51 to 200 ",2006,"Company - Private","Shipping","Transportation & Logistics","Unknown / Non-Applicable","IL"
125,"Sr. ML/Data Scientist - AI/NLP/Chatbot","$99K-$132K ","3.8","Juniper Networks
","Cupertino, CA","Sunnyvale, CA","5001 to 10000 ",1996,"Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)","CA"
126,"Data Scientist","$90K-$109K ","4.7","1904labs
","Saint Louis, MO","Saint Louis, MO","51 to 200 ",2016,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","MO"
127,"Data Scientist","$90K-$109K ","3.6","XSELL Technologies
","Chicago, IL","Chicago, IL","51 to 200 ",2014,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","IL"
128,"Data Engineer","$90K-$109K ","4.2","IZEA
","Winter Park, FL","Winter Park, FL","51 to 200 ",2006,"Company - Public","Advertising & Marketing","Business Services","$25 to $50 million (USD)","FL"
129,"Sr. ML/Data Scientist - AI/NLP/Chatbot","$90K-$109K ","3.8","Juniper Networks
","Cupertino, CA","Sunnyvale, CA","5001 to 10000 ",1996,"Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)","CA"
130,"Data Scientist","$90K-$109K ","5","Notion Labs
","San Francisco, CA","San Francisco, CA","1 to 50 ",2016,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","CA"
